relation,option,tailEntities,tailEntitiesForOption,optionRepresented
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0r3wm,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01s21dg,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0_z91,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0144l1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/053yx,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/06_kh,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/065y4w7,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08x5c_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/074j87,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07c0j,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/042zrm,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/050l8,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/018y81,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01nv4h,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0879bpq,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03kx49,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05jm7,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05683p,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0dzlbx,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0hjy,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0b6tzs,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0g768,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01_wfj,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0qlnr,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0bdxs5,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02x3lt7,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/011ysn,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/061dn_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0ckm4x,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0jsg0m,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0f7hc,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03ksy,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vsy7t,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03t852,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/024qwq,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/029ghl,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0288zy,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09nqf,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/026hxwx,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/026p4q7,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02zrv7,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08809,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/024dgj,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0df2zx,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0jbk9,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01njxvw,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03fmfs,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08qs09,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0psss,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0444x,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01ycfv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09146g,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01hq1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/059rby,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0xsk8,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0mdyn,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/032nwy,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/027xx3,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01htxr,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08wjf4,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/012x1l,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08l_c1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0kvgxk,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0p8h0,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01f85k,1,1,1.0
