relation,tripleCount,symmetryScore
http://bias.org/vocab/base/ecology/ecosystem/ecosystem_members,1,1.0
http://bias.org/vocab/base/ecology/food_web_member/belongs_to_ecosystem_s,1,1.0
http://bias.org/vocab/common/webpage/topic,1,1.0
http://bias.org/vocab/medicine/drug/drug_class,1,1.0
http://bias.org/vocab/medicine/drug_class/drugs,1,1.0
http://bias.org/vocab/user/tsegaran/computer/algorithm/family,1,1.0
http://bias.org/vocab/user/tsegaran/computer/algorithm_family/algorithm,1,1.0
http://bias.org/vocab/base/wrestling/professional_wrestler/member_of_team,2,1.0
http://bias.org/vocab/base/wrestling/solo_wrestler_or_team/members,2,1.0
http://bias.org/vocab/fictional_universe/fictional_character/siblings./fictional_universe/sibling_relationship_of_fictional_characters/siblings,2,1.0
http://bias.org/vocab/travel/transport_terminus/travel_destinations_served./travel/transportation/transport_terminus,2,1.0
http://bias.org/vocab/exhibitions/exhibition_sponsor/exhibitions_sponsored./exhibitions/exhibition_run/sponsor,4,1.0
http://bias.org/vocab/fictional_universe/fictional_character/romantically_involved_with./fictional_universe/romantic_involvement/partner,4,1.0
http://bias.org/vocab/tennis/tennis_tournament_champion/tennis_titles./tennis/tennis_tournament_championship/winner,4,1.0
http://bias.org/vocab/medicine/drug/active_moieties,15,1.0
http://bias.org/vocab/medicine/drug_ingredient/active_moiety_of_drug,19,1.0
http://bias.org/vocab/location/hud_county_place/place,459,1.0
http://bias.org/vocab/education/educational_institution_campus/educational_institution,526,1.0
http://bias.org/vocab/education/educational_institution/campuses,533,1.0
http://bias.org/vocab/base/fight/crime_type/people_convicted_of_this_crime./base/crime/criminal_conviction/guilty_of,21,0.95238096
http://bias.org/vocab/base/twinnedtowns/twinned_town/twinned_with./base/twinnedtowns/town_twinning/twinned_towns,21,0.95238096
http://bias.org/vocab/base/contractbridge/bridge_player/second_place_finish./base/contractbridge/bridge_tournament_standings/second_place,19,0.94736844
http://bias.org/vocab/military/military_combatant/force_deployments./military/force_strength/combatant,84,0.9285714
http://bias.org/vocab/organization/organization/involved_in_merger./organization/organization_merger/organizations_merging,9,0.8888889
http://bias.org/vocab/user/szaijan/fantasy_football/player/nfl_team,27,0.8888889
http://bias.org/vocab/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,100,0.88
http://bias.org/vocab/base/famouspets/pet_owner/pets_owned./base/famouspets/pet_ownership/owner,7,0.85714287
http://bias.org/vocab/medicine/drug_ingredient/more_general_ingredient,7,0.85714287
http://bias.org/vocab/olympics/olympic_athlete/medals_won./olympics/olympic_medal_honor/medalist,54,0.8518519
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/position,127,0.8503937
http://bias.org/vocab/tennis/tennis_player/matches_won./tennis/tennis_match/loser,12,0.8333333
http://bias.org/vocab/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,108,0.8333333
http://bias.org/vocab/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,747,0.82998663
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,717,0.8256625
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/honored_for,475,0.82526314
http://bias.org/vocab/people/person/sibling_s./people/sibling_relationship/sibling,131,0.8244275
http://bias.org/vocab/tv/tv_series_season/regular_cast./tv/regular_tv_appearance/seasons,17,0.8235294
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/major_field_of_study,343,0.82215744
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/legislative_sessions,814,0.82063884
http://bias.org/vocab/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,449,0.8195991
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/role,2655,0.8173258
http://bias.org/vocab/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,250,0.816
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award_winner,8431,0.8143755
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15998,0.8099762
http://bias.org/vocab/location/location/adjoin_s./location/adjoining_relationship/adjoins,2055,0.8097324
http://bias.org/vocab/music/performance_role/guest_performances./music/recording_contribution/performance_role,497,0.8088531
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,3795,0.80843216
http://bias.org/vocab/base/popstra/celebrity/dated./base/popstra/dated/participant,1404,0.8076923
http://bias.org/vocab/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,236,0.80508476
http://bias.org/vocab/base/popstra/celebrity/friendship./base/popstra/friendship/participant,1511,0.80476505
http://bias.org/vocab/people/person/spouse_s./people/marriage/spouse,427,0.80093676
http://bias.org/vocab/medicine/drug_ingredient/more_specific_ingredient,5,0.8
http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers,166,0.78313255
http://bias.org/vocab/base/popstra/celebrity/breakup./base/popstra/breakup/participant,153,0.77124184
http://bias.org/vocab/base/events/performer/performances./base/events/performance/performer,39,0.7692308
http://bias.org/vocab/sports/sports_position/players./american_football/football_historical_roster_position/position_s,102,0.7647059
http://bias.org/vocab/base/contractbridge/bridge_player/first_place_finish./base/contractbridge/bridge_tournament_standings/first_place,21,0.7619048
http://bias.org/vocab/base/contractbridge/bridge_player/second_place_finish./base/contractbridge/bridge_tournament_standings/first_place,21,0.7619048
