relation,inverseRelation,inverseScore
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/vocab/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/country,0.8230702
http://bias.org/vocab/people/cause_of_death/people,http://bias.org/vocab/people/deceased_person/cause_of_death,0.8174603
http://bias.org/vocab/people/person/ethnicity,http://bias.org/vocab/people/ethnicity/people,0.8334975
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.8234345
http://bias.org/vocab/base/locations/countries/continent,http://bias.org/vocab/location/location/contains,0.7651515
http://bias.org/vocab/base/locations/countries/continent,http://bias.org/vocab/base/locations/continents/countries_within,0.75
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/honored_for,http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee,0.7617149
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/honored_for,http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award_winner,0.8049186
http://bias.org/vocab/organization/organization/leadership./organization/leadership/role,http://bias.org/vocab/organization/role/leaders./organization/leadership/organization,0.8211382
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/vocab/sports/sports_team/roster./sports/sports_team_roster/position,0.8087263
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,0.809167
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,0.8197444
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/vocab/sports/sports_team/roster./soccer/football_roster_position/position,0.8338475
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award,http://bias.org/vocab/award/award_category/nominees./award/award_nomination/award_nominee,0.81560576
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/award_nominee,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award,0.8162091
http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,0.8126301
http://bias.org/vocab/media_common/dedicator/dedications./media_common/dedication/dedicated_to,http://bias.org/vocab/media_common/dedicatee/dedications./media_common/dedication/dedicated_by,0.8235294
http://bias.org/vocab/film/film_distribution_medium/films_distributed_in_this_medium./film/film_film_distributor_relationship/film,http://bias.org/vocab/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,0.82550335
http://bias.org/vocab/media_common/netflix_title/netflix_genres,http://bias.org/vocab/media_common/netflix_genre/titles,0.81993204
http://bias.org/vocab/film/film_crewmember/films_crewed./film/film_crew_gig/film,http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/crewmember,0.8069307
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/nominated_for,http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award,0.8147913
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/institution,http://bias.org/vocab/education/educational_institution/students_graduates./education/education/major_field_of_study,0.8159722
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award,http://bias.org/vocab/award/award_category/nominees./award/award_nomination/nominated_for,0.8170357
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,0.81752545
http://bias.org/vocab/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/appearance_type,http://bias.org/vocab/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,0.83035713
http://bias.org/vocab/sports/sports_team/sport,http://bias.org/vocab/sports/sport/teams,0.822695
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award_winner,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.7447515
http://bias.org/vocab/film/film/personal_appearances./film/personal_film_appearance/person,http://bias.org/vocab/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/film,0.74654377
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/ceremony,http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/award_winner,0.82101023
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award,http://bias.org/vocab/award/award_category/nominees./award/award_nomination/award_nominee,0.6777309
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award,http://bias.org/vocab/award/award_category/winners./award/award_honor/award_winner,0.817176
http://bias.org/vocab/government/politician/government_positions_held./government/government_position_held/basic_title,http://bias.org/vocab/government/government_office_category/officeholders./government/government_position_held/office_holder,0.8333333
