relation,option,headEntities,headEntitiesForOption,optionRepresented
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/0kbws,136,71,0.52205884
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/06sks6,136,75,0.5514706
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/01r5xw,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/044l47,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03j722,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/01fcmh,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03y_f8,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/04112r,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/0544vh,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/01jdxj,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/0425yz,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/014nzp,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/058dm9,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/02_lt,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/088lls,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03zrhb,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/0d8_wz,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03ylxn,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/04257b,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03x726,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03dj48,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/01bdxz,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/045xx,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03mg5f,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/047g6m,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03mp37,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/0cgwt8,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/04k3r_,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/02_t6d,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/06khkb,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/0425gc,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/04mp8g,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03fnmd,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/025txtg,7,4,0.5714286
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/03z8bw,7,4,0.5714286
