relation,option,headEntities,headEntitiesForOption,optionRepresented
http://bias.org/vocab/people/person/gender,http://bias.org/entity/m/05zppz,3717,2914,0.7839656
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_region,http://bias.org/entity/m/09c7w0,1311,1189,0.9069413
http://bias.org/vocab/film/film/language,http://bias.org/entity/m/02h40lc,1634,1477,0.9039168
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08mbj5d,3612,3612,1.0
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,http://bias.org/entity/m/02j62,23,14,0.6086956
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,http://bias.org/entity/m/04gb7,23,12,0.5217391
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,http://bias.org/entity/m/05qjt,23,12,0.5217391
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,http://bias.org/entity/m/09zzb8,1265,806,0.63715416
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,http://bias.org/entity/m/09vw2b7,1265,667,0.5272727
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,http://bias.org/entity/m/0ch6mp2,1265,802,0.6339921
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,http://bias.org/entity/m/02r96rf,1265,703,0.55573124
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/013y1f,120,62,0.51666665
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/0342h,120,84,0.7
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/026t6,120,83,0.69166666
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/02sgy,120,70,0.5833333
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/01vj9c,120,82,0.68333334
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/04rzd,120,69,0.575
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/01vdm0,120,87,0.725
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/0l14qv,120,73,0.60833335
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/05842k,120,88,0.73333335
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/042v_gx,120,64,0.53333336
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/018vs,120,73,0.60833335
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/05r5c,120,79,0.65833336
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/0l14md,120,64,0.53333336
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,http://bias.org/entity/m/07brj,120,71,0.59166664
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,http://bias.org/entity/m/02lq67,131,93,0.7099237
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,http://bias.org/entity/m/02lq5w,131,89,0.6793893
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,http://bias.org/entity/m/02lpp7,131,74,0.5648855
http://bias.org/vocab/tv/tv_program/languages,http://bias.org/entity/m/02h40lc,235,218,0.9276596
http://bias.org/vocab/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,475,457,0.9621053
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,http://bias.org/entity/m/0dgrmp,744,513,0.6895161
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,http://bias.org/entity/m/02sdk9v,744,581,0.78091395
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,http://bias.org/entity/m/02nzb8,744,596,0.8010753
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,http://bias.org/entity/m/02_j1w,744,571,0.7674731
http://bias.org/vocab/people/person/profession,http://bias.org/entity/m/02hrh1q,4123,2264,0.5491147
http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,http://bias.org/entity/m/04ztj,2760,2586,0.9369565
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,http://bias.org/entity/m/0crlz,40,21,0.525
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,http://bias.org/entity/m/02vx4,40,23,0.575
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,http://bias.org/entity/m/0bynt,40,23,0.575
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,http://bias.org/entity/m/02y8z,40,21,0.525
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,http://bias.org/entity/m/01hp22,40,21,0.525
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,http://bias.org/entity/m/06wrt,40,21,0.525
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/09c7w0,57,47,0.8245614
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0chghy,57,37,0.64912283
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/07ssc,57,37,0.64912283
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/03rjj,57,39,0.68421054
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0d05w3,57,38,0.6666667
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/06mkj,57,37,0.64912283
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/06bnz,57,45,0.7894737
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0f8l9c,57,35,0.61403507
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/015fr,57,31,0.54385966
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0h7x,57,30,0.5263158
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0d060g,57,45,0.7894737
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0345h,57,46,0.80701756
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0jgd,57,30,0.5263158
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/07t21,57,33,0.57894737
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/0d0vqn,57,30,0.5263158
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/06mzp,57,29,0.50877196
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/03_3d,57,37,0.64912283
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/05qhw,57,36,0.6315789
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/06qd3,57,29,0.50877196
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/05b4w,57,31,0.54385966
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,http://bias.org/entity/m/01mjq,57,33,0.57894737
http://bias.org/vocab/film/film/country,http://bias.org/entity/m/09c7w0,1666,1317,0.7905162
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,http://bias.org/entity/m/03ksy,25,14,0.56
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,http://bias.org/entity/m/02zd460,25,14,0.56
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,http://bias.org/entity/m/08815,25,15,0.6
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,http://bias.org/entity/m/07szy,25,17,0.68
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,http://bias.org/entity/m/01w5m,25,15,0.6
http://bias.org/vocab/people/person/nationality,http://bias.org/entity/m/09c7w0,3754,2509,0.66835374
http://bias.org/vocab/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,http://bias.org/entity/m/04n6k,411,411,1.0
http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,360,302,0.8388889
http://bias.org/vocab/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,220,215,0.97727275
http://bias.org/vocab/film/film/estimated_budget./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,1210,1164,0.96198344
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,http://bias.org/entity/m/0jbk9,788,788,1.0
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,http://bias.org/entity/m/0dgrmp,745,485,0.6510067
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,http://bias.org/entity/m/02nzb8,745,598,0.80268455
