relation,inverseRelation,inverseScore
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award_winner,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.74462783
http://bias.org/vocab/location/hud_county_place/county,http://bias.org/vocab/location/location/contains,0.7081967
http://bias.org/vocab/location/administrative_division/first_level_division_of,http://bias.org/vocab/location/location/contains,0.8794326
http://bias.org/vocab/education/educational_institution_campus/educational_institution,http://bias.org/vocab/education/educational_institution/campuses,0.80798477
http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_parent,http://bias.org/vocab/location/location/contains,0.60967183
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.81412804
http://bias.org/vocab/award/award_category/winners./award/award_honor/award_winner,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award,0.68429404
http://bias.org/vocab/base/biblioness/bibs_location/country,http://bias.org/vocab/location/location/contains,0.7557377
http://bias.org/vocab/location/us_county/county_seat,http://bias.org/vocab/location/hud_county_place/county,0.68508285
http://bias.org/vocab/location/us_county/county_seat,http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,0.67403316
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award_winner,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.77540106
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award,http://bias.org/vocab/award/award_category/nominees./award/award_nomination/nominated_for,0.66978854
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.8081344
http://bias.org/vocab/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.74380165
http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/position,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.8202443
http://bias.org/vocab/music/performance_role/guest_performances./music/recording_contribution/performance_role,http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,0.5975855
http://bias.org/vocab/education/educational_institution/campuses,http://bias.org/vocab/education/educational_institution_campus/educational_institution,0.79737335
http://bias.org/vocab/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.81672025
http://bias.org/vocab/base/biblioness/bibs_location/state,http://bias.org/vocab/location/location/contains,0.81666666
http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/position,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.8023064
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,http://bias.org/vocab/olympics/olympic_games/sports,0.68766403
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,0.5721785
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,0.52685714
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,0.5222857
http://bias.org/vocab/base/aareas/schema/administrative_area/capital,http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,0.76642334
http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,http://bias.org/vocab/location/location/contains,0.7263514
http://bias.org/vocab/location/country/official_language,http://bias.org/vocab/language/human_language/countries_spoken_in,0.5822222
http://bias.org/vocab/location/administrative_division/country,http://bias.org/vocab/location/location/contains,0.82901555
http://bias.org/vocab/base/popstra/celebrity/breakup./base/popstra/breakup/participant,http://bias.org/vocab/base/popstra/celebrity/dated./base/popstra/dated/participant,0.73202616
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/country,http://bias.org/vocab/location/location/contains,0.56593406
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/position,http://bias.org/vocab/sports/sports_position/players./american_football/football_historical_roster_position/position_s,0.688
http://bias.org/vocab/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,http://bias.org/vocab/base/popstra/celebrity/dated./base/popstra/dated/participant,0.5762712
http://bias.org/vocab/sports/sports_team/roster./baseball/baseball_roster_position/position,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.8032787
http://bias.org/vocab/sports/sports_team/roster./basketball/basketball_roster_position/position,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.8146067
http://bias.org/vocab/film/film/film_art_direction_by,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.5346535
http://bias.org/vocab/sports/sports_position/players./american_football/football_historical_roster_position/position_s,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/position,0.84313726
http://bias.org/vocab/tv/tv_program/program_creator,http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.5416667
http://bias.org/vocab/tv/tv_program/program_creator,http://bias.org/vocab/tv/tv_producer/programs_produced./tv/tv_producer_term/program,0.6944444
