p,percentage
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.052854415
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_region,0.05020057
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award,0.04530885
http://bias.org/vocab/people/person/profession,0.043151595
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/nominated_for,0.035693094
http://bias.org/vocab/film/actor/film./film/performance/film,0.035615705
http://bias.org/vocab/film/film/genre,0.027889565
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award_winner,0.027380077
http://bias.org/vocab/music/genre/artists,0.023004295
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.020905081
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,0.020782545
http://bias.org/vocab/award/award_category/winners./award/award_honor/award_winner,0.019573322
http://bias.org/vocab/location/location/contains,0.018812316
http://bias.org/vocab/people/person/nationality,0.016435785
http://bias.org/vocab/people/person/gender,0.014607437
http://bias.org/vocab/common/topic/webpage./common/webpage/category,0.014072154
http://bias.org/vocab/people/person/places_lived./people/place_lived/location,0.013785164
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,0.01253402
http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,0.011469902
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.011450554
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award,0.011402185
http://bias.org/vocab/award/award_category/winners./award/award_honor/ceremony,0.011092624
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/award_winner,0.01076049
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/student,0.010412233
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/major_field_of_study,0.010379987
http://bias.org/vocab/film/film/language,0.010076875
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award_winner,0.009802784
http://bias.org/vocab/media_common/netflix_genre/titles,0.009354564
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,0.008990184
http://bias.org/vocab/people/person/place_of_birth,0.008974061
http://bias.org/vocab/music/record_label/artist,0.008848302
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/role,0.00874189
http://bias.org/vocab/film/film/country,0.008619355
http://bias.org/vocab/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,0.008522618
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,0.008454901
http://bias.org/vocab/people/ethnicity/people,0.008006682
http://bias.org/vocab/influence/influence_node/influenced_by,0.0074842963
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,0.0073617613
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,0.007348863
http://bias.org/vocab/music/instrument/instrumentalists,0.007181184
http://bias.org/vocab/location/location/adjoin_s./location/adjoining_relationship/adjoins,0.006955462
http://bias.org/vocab/music/artist/track_contributions./music/track_contribution/role,0.0065781837
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,0.005639825
http://bias.org/vocab/film/film/production_companies,0.0055914563
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/group,0.005156135
http://bias.org/vocab/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.0050722957
http://bias.org/vocab/film/film/estimated_budget./measurement_unit/dated_money_value/currency,0.0047433865
http://bias.org/vocab/base/popstra/celebrity/dated./base/popstra/dated/participant,0.004617627
http://bias.org/vocab/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,0.0045982795
http://bias.org/vocab/location/location/time_zones,0.004569258
http://bias.org/vocab/film/film/produced_by,0.0045112153
http://bias.org/vocab/people/person/religion,0.00431129
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/district_represented,0.004224226
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,0.004092017
http://bias.org/vocab/film/film/music,0.0038566214
http://bias.org/vocab/film/film/featured_film_locations,0.0038211509
http://bias.org/vocab/tv/tv_program/genre,0.0038147017
http://bias.org/vocab/food/food/nutrients./food/nutrition_fact/nutrient,0.003801803
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/honored_for,0.0036889422
http://bias.org/vocab/education/educational_institution/colors,0.0032665196
http://bias.org/vocab/people/person/languages,0.0031568832
http://bias.org/vocab/organization/organization_member/member_of./organization/organization_membership/organization,0.003150434
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,0.0031149634
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/citytown,0.0030665945
http://bias.org/vocab/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,0.0030182255
http://bias.org/vocab/people/cause_of_death/people,0.0028860169
http://bias.org/vocab/film/director/film,0.0028569954
http://bias.org/vocab/education/educational_institution/school_type,0.0028473216
http://bias.org/vocab/organization/role/leaders./organization/leadership/organization,0.0028473216
http://bias.org/vocab/business/job_title/people_with_this_title./business/employment_tenure/company,0.0027957282
http://bias.org/vocab/music/genre/parent_genre,0.0027441345
http://bias.org/vocab/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,0.0027215623
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/legislative_sessions,0.0027022148
http://bias.org/vocab/people/deceased_person/place_of_death,0.0026893162
http://bias.org/vocab/sports/sports_team/colors,0.0026860917
http://bias.org/vocab/film/film/written_by,0.0026538456
http://bias.org/vocab/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,0.0026473964
http://bias.org/vocab/music/group_member/membership./music/group_membership/role,0.0026087014
http://bias.org/vocab/film/film/executive_produced_by,0.0025893536
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/state_province_region,0.00257968
http://bias.org/vocab/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,0.0025119632
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,0.0024023268
http://bias.org/vocab/film/film_subject/films,0.0023410595
http://bias.org/vocab/location/statistical_region/religions./location/religion_percentage/religion,0.0023410595
http://bias.org/vocab/sports/pro_athlete/teams./sports/sports_team_roster/team,0.0022894659
http://bias.org/vocab/olympics/olympic_games/sports,0.0022088508
http://bias.org/vocab/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,0.002102439
http://bias.org/vocab/base/biblioness/bibs_location/country,0.0020250487
http://bias.org/vocab/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,0.0020185995
http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_parent,0.0019960273
